Subject,Start Date,Start Time,End Date,All Day Event,Description,Location,Private
"Driving Madeleine (15)",01/10/2024,2:30 PM,01/11/2024,False,"A seemingly simple taxi ride across Paris evolves into a profound meditation on the realities of the driver.\nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/driving-madeleine-15 \n\nRecorded at 2023-12-31 17:05:39.699455","Corn Exchange Cinema",False
"Volunteer Recruitment Fair",01/11/2024,Not Stated,01/11/2024,False,"Volunteer Centre West Berkshire presents its 50th anniversary recruitment fair.\nPrice: ['Free                    (no booking required)']\nDetails: https://cornexchangenew.com/event/volunteer-recruitment-fair \n\nRecorded at 2023-12-31 17:05:40.855658","Corn Exchange Balcony Bar",False
"Family Film: Teenage Mutant Ninja Turtles - Mutant Mayhem (PG)",01/11/2024,10:30 AM,01/11/2024,False,"Join the Turtle brothers on this cinematic adventure!\nPrice: ['Full Price �3.50 (including booking fees)']\nDetails: https://cornexchangenew.com/event/family-film-and-craft-teenage-mutant-ninja-turtles---mutant-mayhem-pg \n\nRecorded at 2023-12-31 17:05:41.462703","Corn Exchange Cinema",False
"Introduction to Glass Fusing",01/11/2024,11:00 AM,01/11/2024,False,"Join Shirely Eccles for an introduction to the skills and techniques involved in glass fusing and slumping.\nPrice: ['Full Price �120']\nDetails: https://cornexchangenew.com/event/introduction-to-glass-fusing-3 \n\nRecorded at 2023-12-31 17:05:41.733139","The Lookout Studio, The Base",False
"Tish (15)",01/14/2024,2:30 PM,01/17/2024,False,"Tish Murtha was a visionary photographer committed to documenting the struggle and inequality of the working-class communities that framed her upbringing.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30 (including booking fees)']\nDetails: https://cornexchangenew.com/event/tish-15 \n\nRecorded at 2023-12-31 17:05:42.293290","Corn Exchange Cinema",False
"Ferrari (15)",01/05/2024,5:00 PM,01/17/2024,False,"Based on the 1991 biography of Enzo Ferrari.\nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/ferrari-15 \n\nRecorded at 2023-12-31 17:05:42.866753","Corn Exchange Cinema",False
"Tots Cinema: Superworm (U)",01/17/2024,10:15 AM,01/17/2024,False,"Superworm is super-long and super-strong, and is always saving the day. But who can save him when he gets too full of himself and is captured by the evil Wizard Lizard?\nPrice: ['Full Price �3.50 (including booking fee)']\nDetails: https://cornexchangenew.com/event/tots-cinema-superworm-u \n\nRecorded at 2023-12-31 17:05:43.429097","Corn Exchange Cinema",False
"One Life (12A)",01/12/2024,2:30 PM,01/18/2024,False,"One Life tells the true story of Nicholas Winton, a young British stockbroker who embarks on a daring mission.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/one-life-12a \n\nRecorded at 2023-12-31 17:05:44.009866","Corn Exchange Cinema",False
"Anyone But You (15)",12/21/2023,2:30 PM,01/18/2024,False,"Euphoria breakout star Sydney Sweeney and Top Gun: Maverick star Glen Powell lead the cast of Anyone But You as Bea and Ben.\nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/anyone-but-you-15 \n\nRecorded at 2023-12-31 17:05:44.593028","Corn Exchange Cinema",False
"Balcony Bar: World Crafts",01/05/2024,10:30 AM,01/19/2024,False,"Explore the arts and crafts of cultures around the world and master them yourselves in our weekly World Crafts workshops with artist Mandy Allport.\nPrice: ['Free (pre-booking required)']\nDetails: https://cornexchangenew.com/event/world-crafts \n\nRecorded at 2023-12-31 17:05:44.934828","Corn Exchange Balcony Bar",False
"Introduction to Gouache",01/19/2024,10:00 AM,01/19/2024,False,"Join Francesca Mclean to discover the versatility of painting with gouache paint.\nPrice: ['Full Price �55']\nDetails: https://cornexchangenew.com/event/introduction-to-gouache-2 \n\nRecorded at 2023-12-31 17:05:45.353785","The Lookout Studio, The Base",False
"Family Film: Over the Hedge (U)",01/19/2024,10:30 AM,01/19/2024,False,"From the creators of Shrek and Madagascar...\nPrice: ['Full Price �3.50 (Including booking Fee)']\nDetails: https://cornexchangenew.com/event/family-film-and-craft-over-the-hedge-u \n\nRecorded at 2023-12-31 17:05:46.312400","Corn Exchange Cinema",False
"RARE Productions - High School Musical",01/18/2024,7:30 PM,01/20/2024,False,"The UK�s largest amateur musical theatre youth group return to our stage!\nPrice: ['Full Price �20.25', 'Concessions Price �19.25', 'Under-16s �18.25                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/rare-productions-high-school-musical \n\nRecorded at 2023-12-31 17:05:46.778332","Corn Exchange Auditorium",False
"An Evening With Nigel Owens",01/20/2024,7:30 PM,01/20/2024,False,"An evening with one of the World�s top rugby referees, Nigel Owens MBE.\nPrice: ['Full Price �29', 'VIP �60                    (Including booking fees)']\nDetails: https://cornexchangenew.com/event/an-evening-with-nigel-owens \n\nRecorded at 2023-12-31 17:05:47.133873","Corn Exchange Auditorium",False
"Miles Jupp - On I Bang",01/20/2024,Not Stated,01/20/2024,False,"Please note: this performance is now SOLD OUT. Please contact the Box Office to add your name to the waiting list.\nPrice: ['Full Price �25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/miles-jupp-on-i-bang \n\nRecorded at 2023-12-31 17:05:47.517671","Corn Exchange Auditorium",False
"The Boy And The Heron (12A)",01/19/2024,8:00 PM,01/25/2024,False,"Academy award-winning director Hayao Miyazaki (Spirited Away) brings a new critically-acclaimed fantasy adventure set in 1943, during the Pacific War.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (Including booking fees)']\nDetails: https://cornexchangenew.com/event/the-boy-and-the-heron-12a \n\nRecorded at 2023-12-31 17:05:48.449945","Corn Exchange Cinema",False
"Linoprinting",01/25/2024,6:00 PM,01/25/2024,False,"Enjoy learning the skills and techniques involved in linoprinting. \nPrice: ['Full Price �45']\nDetails: https://cornexchangenew.com/event/linoprinting-spring-2024 \n\nRecorded at 2023-12-31 17:05:48.735402","The Lookout Studio, The Base",False
"The Dolly Show",01/25/2024,7:45 PM,01/25/2024,False,"Kelly is the best in the business; she sounds like Dolly, she looks like Dolly and she�s as witty and entertaining as Dolly.\nPrice: ['Full Price �28.75 (including booking fee)']\nDetails: https://cornexchangenew.com/event/the-dolly-show-2 \n\nRecorded at 2023-12-31 17:05:49.324659","Corn Exchange Auditorium",False
"Dirty Dusting",01/25/2024,7:30 PM,01/25/2024,False,"What could possibly go wrong?\nPrice: ['Full Price �25.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/dirty-dusting \n\nRecorded at 2023-12-31 17:05:49.711691","Corn Exchange Auditorium",False
"Introduction to Silver Jewellery: Ring Making",01/25/2024,10:00 AM,01/25/2024,False,"Explore the possibilities of silver as you design and make your own ring.\nPrice: ['Full Price �75 (includes tea and cake from Honesty Caf�)']\nDetails: https://cornexchangenew.com/event/introduction-to-silver-jewellery-ring-making \n\nRecorded at 2023-12-31 17:05:50.112460","The Lookout Studio, The Base",False
"Family Film: Kung Fu Panda (PG)",01/25/2024,10:30 AM,01/25/2024,False,"The beloved Dreamworks animation about a clumsy panda named Po.\nPrice: ['Full Price �3.50 (including booking fee)']\nDetails: https://cornexchangenew.com/event/family-film-kung-fu-panda-pg \n\nRecorded at 2023-12-31 17:05:51.093927","Corn Exchange Cinema",False
"Women in Rock",01/25/2024,7:45 PM,01/25/2024,False,"Women In Rock are ready to take you on a journey through 5 decades of the world�s greatest female rock legends.\nPrice: ['Full Price �26.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/women-in-rock \n\nRecorded at 2023-12-31 17:05:51.444768","Corn Exchange Auditorium",False
"Family Tai Chi",01/25/2024,10:30 AM,01/25/2024,False,"Join Mark Jones for this morning Family Tai Chi session.\nPrice: ['Full Price �8 (per adult)', 'Under 16s �4                    (under 16s must be accompanied by an adult)']\nDetails: https://cornexchangenew.com/event/family-tai-chi \n\nRecorded at 2023-12-31 17:05:51.750331","Corn Exchange Auditorium",False
"GENerate Student Art Exhibition 2024",01/12/2024,10:00 AM,01/28/2024,False,"Marvel at the next GENeration of artists' creations.\nPrice: ['FREE                    (suggested donation on door)']\nDetails: https://cornexchangenew.com/event/generate-student-art-exhibition-2 \n\nRecorded at 2023-12-31 17:05:52.276951","The Base Gallery",False
"Sindhu Vee: Alphabet",01/28/2024,Not Stated,01/28/2024,False,"Please note: this performance is now SOLD OUT. Please contact the Box Office to add your name to the waiting list.\nPrice: ['Full Price �20.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/sindhu-vee-alphabet \n\nRecorded at 2023-12-31 17:05:52.593572","Corn Exchange Auditorium",False
"Pet Shop Boys Dreamworld: The Greatest Hits Live at The Royal Arena Copenhagen (12A)",01/28/2024,8:00 PM,01/28/2024,False,"Pet Shop Boys bring their critically-acclaimed greatest hits tour, Dreamworld, to movie theatres worldwide!\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/pet-shop-boys-dreamworld-the-greatest-hits-live-at-the-royal-arena-copenhagen \n\nRecorded at 2023-12-31 17:05:53.172424","Corn Exchange Cinema",False
"Dementia Friendly: The Searchers (U)",01/28/2024,11:00 AM,01/28/2024,False,"One of the most influential movies ever made.\nPrice: ['Special Screening �6.30                    (Including Booking Fee)']\nDetails: https://cornexchangenew.com/event/dementia-friendly-the-searchers \n\nRecorded at 2023-12-31 17:05:53.733177","Corn Exchange Cinema",False
"Mean Girls (2024) (12A)",01/26/2024,5:25 PM,02/01/2024,False,"From the comedic mind of Tina Fey comes a new twist on the modern classic, Mean Girls. \nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/mean-girls-2024-12a \n\nRecorded at 2023-12-31 17:05:54.309304","Corn Exchange Cinema",False
"Mark Watson: Search",02/01/2024,8:00 PM,02/01/2024,False,"Comedian, author and sports pundit brings his show to Newbury!\nPrice: ['Full Price �22.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/mark-watson-search \n\nRecorded at 2023-12-31 17:05:54.896633","Corn Exchange Auditorium",False
"UK Pink Floyd Experience",02/01/2024,7:45 PM,02/01/2024,False,"Celebrating 30 years since the iconic Pulse tour, this highly authentic show recreates the atmosphere of Floyd live.\nPrice: ['Full Price �28.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/uk-pink-floyd-experience \n\nRecorded at 2023-12-31 17:05:55.582584","Corn Exchange Auditorium",False
"Family Film: Kung Fu Panda 2 (PG)",02/01/2024,10:30 AM,02/01/2024,False,"The fate of the land depends on the Dragon Warrior, a clumsy panda named Po.\nPrice: ['Full Price �3.50 (including booking fee)']\nDetails: https://cornexchangenew.com/event/family-film-kung-fu-panda-2-pg \n\nRecorded at 2023-12-31 17:05:56.596720","Corn Exchange Cinema",False
"NT Live: Dear England (15)",01/25/2024,7:00 PM,02/03/2024,False,"Joseph Fiennes plays Gareth Southgate in James Graham's spectacular hit play examining nation and game. \nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (including Booking Fees)']\nDetails: https://cornexchangenew.com/event/nt-live-dear-england \n\nRecorded at 2023-12-31 17:05:57.195569","Corn Exchange Cinema",False
"Top Secret: Magic of Science - Pre-Show Workshop",02/03/2024,1:00 PM,02/03/2024,False,"Artist Gemma Kirby will show you how to decorate a magical pair of goggles so you are ready for the science lab! \nPrice: ['Full Price �4 (per child)']\nDetails: https://cornexchangenew.com/event/top-secret-magic-of-science---pre-show-workshop \n\nRecorded at 2023-12-31 17:05:57.584575","Balcony Bar",False
"Top Secret - The Magic of Science",02/03/2024,2:00 PM,02/03/2024,False,"Hang on to your seats as we transform the Corn Exchange into a real life science laboratory.\nPrice: ['Full Price �14.25', 'Concessions Price �12.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/top-secret-the-magic-of-science \n\nRecorded at 2023-12-31 17:05:57.869953","Corn Exchange Auditorium",False
"Kinky Boots The Musical (12A)",02/03/2024,2:00 PM,02/03/2024,False,"Join along in this unmissable musical theatre event, celebrating the joyous story of British grit transforming into a high-heeled hit!\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/kinky-boots--the-musical \n\nRecorded at 2023-12-31 17:05:58.445447","Corn Exchange Cinema",False
"Japanese Tenkoku Workshop � Stone Carving",02/03/2024,2:00 PM,02/03/2024,False,"Learn to create a seal that will be unique to you and will last forever.\nPrice: ['Full Price �50']\nDetails: https://cornexchangenew.com/event/japanese-tenkoku-workshop-stone-carving \n\nRecorded at 2023-12-31 17:05:58.741695","The Lookout Studio, The Base",False
"Tai Chi Qigong - Mortimer",01/08/2024,1:30 PM,02/05/2024,False,"Improve your mood and reduce anxiety and stress while building better balance, strength and flexibility.\nPrice: ['Full Price �25 (for 5 week course)']\nDetails: https://cornexchangenew.com/event/tai-chi-qigong---mortimer \n\nRecorded at 2023-12-31 17:05:59.119585","Mortimer Community Centre",False
"The Boys in the Boat (12A)",01/26/2024,2:30 PM,02/06/2024,False,"The Boys in the Boat is the American biographical sports drama film co-produced and directed by George Clooney from a screenplay by Mark L. Smith, based on the 2013 book of the same name by Daniel James Brown.\nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/the-boys-in-the-boat-12a \n\nRecorded at 2023-12-31 17:05:59.724805","Corn Exchange Cinema",False
"RB Live: Manon",02/06/2024,7:15 PM,02/06/2024,False,"This adaptation of Abb� Pr�vost�s novel embodies Kenneth MacMillan at his best.\nPrice: ['Full Price �16.75', 'Concs �14.75                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/rb-live-manon \n\nRecorded at 2023-12-31 17:06:00.082024","Corn Exchange Cinema",False
"Peppa Pig's Fun Day Out",02/07/2024,10:00 AM,02/08/2024,False,"Peppa Pig is back in her oinktastic brand new live show, Fun Day Out!\nPrice: ['Full Price �16.25', 'Under-16s �14.25', 'ages 6 - 12 months �8', 'ages 0 - 6 months �1                    (Babes in arms ticket)']\nDetails: https://cornexchangenew.com/event/peppa-pig-s-fun-day-out \n\nRecorded at 2023-12-31 17:06:00.432049","Corn Exchange Auditorium",False
"Poor Things (18)",02/02/2024,7:30 PM,02/08/2024,False,"The much-anticipated new film from Yorgos Lanthimos, Poor Things, remixes the Frankenstein tale into a young woman's journey of self-discovery.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/poor-things-18 \n\nRecorded at 2023-12-31 17:06:01.514164","Corn Exchange Cinema",False
"Priscilla (15)",01/19/2024,5:20 PM,02/08/2024,False,"Based on the real-life Priscilla Presley�s autobiography Elvis and Me, the film will follow Priscilla (Cailee Spaeny) from the ages of 14 to 27, chronicling her first meeting with Elvis.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (Including booking fees)']\nDetails: https://cornexchangenew.com/event/priscilla-15 \n\nRecorded at 2023-12-31 17:06:02.085576","Corn Exchange Cinema",False
"The End We Start From (15)",02/02/2024,2:30 PM,02/08/2024,False,"A startlingly beautiful story of a family's survival.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/the-end-we-start-from-15 \n\nRecorded at 2023-12-31 17:06:02.690273","Corn Exchange Cinema",False
"Drawing with wire: Daffodils",02/08/2024,10:00 AM,02/08/2024,False,"Learn the art of sculpting with wire to create your very own elegant daffodil.\nPrice: ['Full Price �59']\nDetails: https://cornexchangenew.com/event/drawing-with-wire-daffodils \n\nRecorded at 2023-12-31 17:06:03.015055","The Lookout Studio, The Base",False
"Create your own Tie Dye Scarf",02/03/2024,1:00 PM,02/10/2024,False,"Join Berkshire Printmakers for a new textiles workshop over two afternoons.\nPrice: ['�95                    (For 2 week course)']\nDetails: https://cornexchangenew.com/event/create-your-own-tie-dye-scarf \n\nRecorded at 2023-12-31 17:06:03.428674","The Lookout Studio, The Base",False
"The No Mo Chemo Show",02/10/2024,6:45 PM,02/10/2024,False,"A night of music and laughter supporting Breast Cancer Now featuring Nick Helm.\nPrice: ['Full Price �21.25 (Including booking fee)']\nDetails: https://cornexchangenew.com/event/the-no-mo-chemo-show \n\nRecorded at 2023-12-31 17:06:04.115431","Corn Exchange Auditorium",False
"The Bubble Show",02/10/2024,2:00 PM,02/10/2024,False,"Join Mr Bubbles with his extraordinary soap bubbles in all shapes and sizes! \nPrice: ['Full Price �15.25', 'Concessions Price �12.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/the-bubble-show \n\nRecorded at 2023-12-31 17:06:04.640284","Corn Exchange Auditorium",False
"Pottery Taster - Spring 2024",01/28/2024,2:30 PM,02/11/2024,False,"Join Susie Oates from �Pots of Hope� in this two part Pottery Taster workshop.\nPrice: ['�75                    (For 2 week course)']\nDetails: https://cornexchangenew.com/event/pottery-taster---spring-2024 \n\nRecorded at 2023-12-31 17:06:05.045290","The Lookout Studio, The Base",False
"Restorative Yoga and Sound Healing - Spring 2024",02/11/2024,10:00 AM,02/11/2024,False,"Relax with gentle movements and a soothing sound bath.\nPrice: ['Full Price �25 (per person)']\nDetails: https://cornexchangenew.com/event/restorative-yoga-and-sound-healing---spring-2024 \n\nRecorded at 2023-12-31 17:06:05.349075","Learning Centre",False
"Half Term Art Club - Spring 2024",02/12/2024,10:00 AM,02/15/2024,False,"Join our art club this half term.\nPrice: ['Full Price �10 per child, per session']\nDetails: https://cornexchangenew.com/event/-half-term-art-club---spring-2024 \n\nRecorded at 2023-12-31 17:06:05.768836","The Lookout Studio, The Base",False
"Create and Make (Half Term) - Spring 2024",02/12/2024,10:00 AM,02/16/2024,False,"Join us for some creative fun in the school holidays. \nPrice: ['Full Price �35 (per child)', '�140                    (for all 5 days, booked in the same transaction)']\nDetails: https://cornexchangenew.com/event/create-and-make-half-term-spring-2024 \n\nRecorded at 2023-12-31 17:06:06.413393","Learning Centre",False
"Drawing Portraits",02/16/2024,1:00 PM,02/16/2024,False,"Get creative and learn to make a realistic portrait.\nPrice: ['Full Price �25 per child']\nDetails: https://cornexchangenew.com/event/drawing-portraits \n\nRecorded at 2023-12-31 17:06:06.801197","The Base, The Lookout Studio",False
"Make a Willow Onion Basket",02/16/2024,1:00 PM,02/16/2024,False,"This half day class is a great introduction to the fascinating craft of basket making with Judith Needham.\nPrice: ['Full Price �45']\nDetails: https://cornexchangenew.com/event/make-a-willow-onion-basket \n\nRecorded at 2023-12-31 17:06:07.161478","The Lookout Studio, The Base",False
"The Little Mermaid",02/14/2024,2:30 PM,02/17/2024,False,"Disney�s The Little Mermaid comes to Newbury this February Half-Term in this colourful community production!\nPrice: ['Full Price �20.25', 'Concessions Price �16.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/the-little-mermaid-2 \n\nRecorded at 2023-12-31 17:06:07.479871","Corn Exchange Auditorium",False
"Metal Embossing and Mixed Media",01/21/2024,10:30 AM,02/18/2024,False,"This course is aimed at beginners, but also anyone who enjoys working with mixed media and in trying something new.\nPrice: ['�170                    (For 5 Week Course)']\nDetails: https://cornexchangenew.com/event/metal-embossing-and-mixed-media \n\nRecorded at 2023-12-31 17:06:07.902101","The Lookout Studio, The Base",False
"Cracking",02/18/2024,7:45 PM,02/18/2024,False,"When the world goes mad, do we inevitably go mad too?\nPrice: ['Full Price �14.25', 'Concessions Price �12.25', 'Schools �10                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/cracking \n\nRecorded at 2023-12-31 17:06:08.227875","Corn Exchange Auditorium",False
"Josh Pugh - Existin' La Vida Loca",02/18/2024,7:30 PM,02/18/2024,False,"Josh Pugh, comedian and actor, returns following his sell-out debut UK and Ireland tour.\nPrice: ['Full Price �19.75', 'Concessions Price �17.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/josh-pugh-existin-la-vida-loca \n\nRecorded at 2023-12-31 17:06:08.550112","Corn Exchange Cinema",False
"Spring Weaving",02/18/2024,10:00 AM,02/18/2024,False,"Learn the basic techniques of weaving to create a stunning wall hanging using beautiful spring colours with Mandy Allport.\nPrice: ['Full Price �55']\nDetails: https://cornexchangenew.com/event/spring-weaving \n\nRecorded at 2023-12-31 17:06:08.962706","Lookout Studio, The Base",False
"NT Live: Vanya (15)",02/18/2024,7:00 PM,02/18/2024,False,"Filmed live during its sold-out run in London�s West End.\nPrice: ['Full Price �16.75', 'Concessions Price �14.75 (Including booking fees)']\nDetails: https://cornexchangenew.com/event/nt-live-vanya \n\nRecorded at 2023-12-31 17:06:09.290171","Corn Exchange Cinema",False
"Back Into Hell - A Tribute to Meat Loaf and Jim Steinman",02/18/2024,7:30 PM,02/18/2024,False,"Let us take you Back Into Hell, where Rock and Roll dreams come true!\nPrice: ['Full Price �30 (including booking fee)']\nDetails: https://cornexchangenew.com/event/back-into-hell-a-tribute-to-meat-loaf-and-jim-steinman \n\nRecorded at 2023-12-31 17:06:09.939608","Corn Exchange Auditorium",False
"Hand Embroidery and Embellishment for Clothing",02/18/2024,1:00 PM,02/18/2024,False,"Sarah Lane will introduce you to simple and intermediate hand embroidery stitches so you can embellish and decorate your clothes.\nPrice: ['Full Price �50']\nDetails: https://cornexchangenew.com/event/hand-embroidery-and-embellishment-for-clothing---spring-2024 \n\nRecorded at 2023-12-31 17:06:10.852486","The Lookout Studio, The Base",False
"Reginald D Hunter: The Man Who Could See Through S**t",02/18/2024,8:00 PM,02/18/2024,False,"As seen on Live at the Apollo, HIGNFY, and 8 out of 10 Cats Does Countdown.\nPrice: ['Full Price �26.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/reginald-d-hunter-the-man-who-could-see-through-s-t \n\nRecorded at 2023-12-31 17:06:11.172593","Corn Exchange Auditorium",False
"Introduction to Silver Jewellery: Make a Pendant",02/18/2024,10:00 AM,02/18/2024,False,"Join jeweller Sandra McArdle for an introduction to silversmithing and explore the possibilities of silver.\nPrice: ['Full Price �80 (includes a tea and cake from Honesty Caf�)']\nDetails: https://cornexchangenew.com/event/introduction-to-silver-jewellery-make-a-pendant \n\nRecorded at 2023-12-31 17:06:11.585694","The Lookout Studio, The Base",False
"Family Yoga",02/18/2024,10:30 AM,02/18/2024,False,"Come along with your family for a calming yoga session.\nPrice: ['Full Price �8 (per adult)', 'Under 16s �4                    (under 16s must be accompanied by an adult)']\nDetails: https://cornexchangenew.com/event/family-yoga-2 \n\nRecorded at 2023-12-31 17:06:12.013828","Learning Centre",False
"Script Reading - Spring 2024",01/28/2024,1:30 PM,02/25/2024,False,"Join us in the Balcony Bar and explore the vibrant world of classic and contemporary plays with like-minded individuals.\nPrice: ['Full Price �15 (per person)']\nDetails: https://cornexchangenew.com/event/script-reading---spring-2024 \n\nRecorded at 2023-12-31 17:06:12.403341","Balcony Bar",False
"Introduction to Leather Craft",02/25/2024,2:30 PM,02/25/2024,False,"Join James Mortlock from Macotu Leather to explore the timeless material of leather.\nPrice: ['Full Price �90']\nDetails: https://cornexchangenew.com/event/introduction-to-leather-craft \n\nRecorded at 2023-12-31 17:06:12.781541","The Lookout Studio, The Base",False
"Mike Wozniak: Zusa",02/25/2024,7:30 PM,02/25/2024,False,"Ever wondered how Mike�s Great-Aunt Zusa made it from Poland to Luton with a war nipping at her heels? Here�s your chance to find out.\nPrice: ['Full Price �17.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/mike-wozniak-zusa \n\nRecorded at 2023-12-31 17:06:13.144923","Corn Exchange Auditorium",False
